benchmark,size,selection_scheme,run,timestamp,ilp_time_assignment,status,error
count_10s,4096,smart_lp,1,2026-04-21T20:33:26Z,,error,exit -9: Continuous objective value is -221.493 - 0.54 seconds | Continuous objective value is -206.971 - 172.76 seconds | Result - Optimal solution found | Objective value:                -225.22850000 | Enumerated nodes:
count_10s,4096,smart_lp,2,2026-04-21T20:35:14Z,,error,"exit -9: Time (Wallclock seconds):       4.74 | Total time (CPU seconds):       186.85   (Wallclock seconds):       105.25 | Continuous objective value is -209.734 - 185.27 seconds | Continuous objective value is -208.897 - 182.15 seconds | Cgl0004I processed model has 51051 rows, 35887 columns (35887 integer (35887 of which binary)) and 146421 elements"
count_10s,4096,smart_lp,3,2026-04-21T20:37:13Z,,error,exit -9: Enumerated nodes:               0 | Total iterations:               0 | Time (CPU seconds):             10.29 | Time (Wallclock seconds):       5.40 | Total time (CPU seconds):       178.37   (Wallclock seconds):       94.15
count_10s,4096,smart_lp,4,2026-04-21T20:39:03Z,,error,exit -9: Enumerated nodes:               0 | Total iterations:               0 | Time (CPU seconds):             9.29 | Time (Wallclock seconds):       4.89 | Total time (CPU seconds):       179.69   (Wallclock seconds):       94.44
count_10s,4096,smart_lp,5,2026-04-21T20:40:56Z,,error,exit -9: Total iterations:               0 | Time (CPU seconds):             10.73 | Time (Wallclock seconds):       6.03 | Total time (CPU seconds):       174.19   (Wallclock seconds):       91.29 | Continuous objective value is -208.059 - 173.88 seconds
count_10s,4096,smart_lp,6,2026-04-21T20:42:52Z,,error,exit -9: Time (Wallclock seconds):       5.03 | Total time (CPU seconds):       179.70   (Wallclock seconds):       93.89 | Continuous objective value is -217.376 - 184.33 seconds | Continuous objective value is -212.509 - 180.22 seconds | Continuous objective value is -208.803 - 183.12 seconds
count_10s,4096,smart_lp,7,2026-04-21T20:44:41Z,,error,exit -9: Total iterations:               0 | Time (CPU seconds):             10.61 | Time (Wallclock seconds):       5.59 | Total time (CPU seconds):       176.55   (Wallclock seconds):       91.44 | Continuous objective value is -216.645 - 182.27 seconds
count_10s,4096,smart_lp,8,2026-04-21T20:46:33Z,,error,exit -9: Total time (CPU seconds):       181.54   (Wallclock seconds):       94.74 | Continuous objective value is -210.289 - 180.79 seconds | Cbc0038I Solution found of -205.658 | Continuous objective value is -207.356 - 182.94 seconds | Continuous objective value is -214.985 - 182.64 seconds
count_10s,4096,smart_lp,9,2026-04-21T20:48:31Z,,error,"exit -9: Time (CPU seconds):             10.19 | Time (Wallclock seconds):       5.63 | Total time (CPU seconds):       183.99   (Wallclock seconds):       95.51 | Continuous objective value is -208.998 - 181.91 seconds | Cgl0004I processed model has 51933 rows, 36513 columns (36513 integer (36513 of which binary)) and 148961 elements"
count_10s,4096,smart_lp,10,2026-04-21T20:50:20Z,,error,exit -9: Result - Optimal solution found | Objective value:                -224.76365000 | Enumerated nodes:               0 | Total iterations:               0 | Time (CPU seconds):
cryptonets_max_pooling,16,smart_lp,1,2026-04-21T20:52:12Z,0.156469,ok,
cryptonets_max_pooling,16,smart_lp,2,2026-04-21T20:52:13Z,0.128378,ok,
cryptonets_max_pooling,16,smart_lp,3,2026-04-21T20:52:13Z,0.129445,ok,
cryptonets_max_pooling,16,smart_lp,4,2026-04-21T20:52:13Z,0.184097,ok,
cryptonets_max_pooling,16,smart_lp,5,2026-04-21T20:52:14Z,0.179033,ok,
cryptonets_max_pooling,16,smart_lp,6,2026-04-21T20:52:14Z,0.179099,ok,
cryptonets_max_pooling,16,smart_lp,7,2026-04-21T20:52:14Z,0.128919,ok,
cryptonets_max_pooling,16,smart_lp,8,2026-04-21T20:52:14Z,0.128274,ok,
cryptonets_max_pooling,16,smart_lp,9,2026-04-21T20:52:14Z,0.124431,ok,
cryptonets_max_pooling,16,smart_lp,10,2026-04-21T20:52:15Z,0.127786,ok,
db_join,32,smart_lp,1,2026-04-21T20:52:15Z,10.143995,ok,
db_join,32,smart_lp,2,2026-04-21T20:52:38Z,9.329668,ok,
db_join,32,smart_lp,3,2026-04-21T20:52:59Z,9.274385,ok,
db_join,32,smart_lp,4,2026-04-21T20:53:21Z,9.210627,ok,
db_join,32,smart_lp,5,2026-04-21T20:53:42Z,9.222400,ok,
db_join,32,smart_lp,6,2026-04-21T20:54:06Z,9.429587,ok,
db_join,32,smart_lp,7,2026-04-21T20:54:28Z,9.336168,ok,
db_join,32,smart_lp,8,2026-04-21T20:54:50Z,9.213932,ok,
db_join,32,smart_lp,9,2026-04-21T20:55:11Z,9.192479,ok,
